Year,Super_Bowl,Stadium,Indoor ,City,State,Population,
1967,I,Los Angeles Memorial Coliseum,0,Los Angeles,California,,
1968,II,Orange Bowl,0,Miami,Florida,,
1969,III,Orange Bowl,0,Miami,Florida,,
1970,IV,Tulane Stadium,0,New Orleans,Louisiana,,
1971,V,Orange Bowl,0,Miami,Florida,,
1972,VI,Tulane Stadium,0,New Orleans,Louisiana,,
1973,VII,Los Angeles Memorial Coliseum,0,Los Angeles,California,,
1974,VIII,Rice Stadium,0,Houston,Texas,,
1975,IX,Tulane Stadium,0,New Orleans,Louisiana,,
1976,X,Orange Bowl,0,Miami,Florida,,
1977,XI,Rose Bowl,0,Pasadena,California,,
1978,XII,Caesars Superdome,1,New Orleans,Louisiana,,
1979,XIII,Orange Bowl,0,Miami,Florida,,
1980,XIV,Rose Bowl,0,Pasadena,California,,
1981,XV,Caesars Superdome,1,New Orleans,Louisiana,,
1982,XVI,Pontiac Silverdome,1,Detroit,Michigan,,
1983,XVII,Rose Bowl,0,Pasadena,California,,
1984,XVIII,Tampa Stadium,0,Tampa,Florida,,
1985,XIX,Stanford Stadium,0,Stanford,California,,
1986,XX,Caesars Superdome,1,New Orleans,Louisiana,,
1987,XXI,Rose Bowl,0,Pasadena,California,,
1988,XXII,Qualcomm Stadium,0,San Diego,California,,
1989,XXIII,Hard Rock Stadium,0,Miami,Florida,,
1990,XXIV,Caesars Superdome,1,New Orleans,Louisiana,,
1991,XXV,Tampa Stadium,0,Tampa,Florida,,
1992,XXVI,Hubert H. Humphrey Metrodome,1,Minneapolis,Minnesota,,
1993,XXVII,Rose Bowl,0,Pasadena,California,,
1994,XVIII,Georgia Dome,1,Atlanta,Georgia,,
1995,XXIX,Hard Rock Stadium,0,Miami,Florida,,
1996,XXX,Sun Devil Stadium,0,Pheonix,Arizona,,
1997,XXXI,Caesars Superdome,1,New Orleans,Louisiana,,
1998,XXXII,Qualcomm Stadium,0,San Diego,California,,
1999,XXXIII,Hard Rock Stadium,0,Miami,Florida,,
2000,XXXIV,Georgia Dome,1,Atlanta,Georgia,,
2001,XXXV,Raymond James Stadium,0,Tampa,Florida,,
2002,XXXVI,Caesars Superdome,1,New Orleans,Louisiana,,
2003,XXXVII,Qualcomm Stadium,0,San Diego,California,,
2004,XXXVIII,NRG Stadium,1,Houston,Texas,,
2005,XXXIX,Alltel Stadium,0,Jacksonville,Florida,,
2006,XL,Ford Field,1,Detroit,Michigan,,
2007,XLI,Hard Rock Stadium,0,Miami,Florida,,
2008,XLII,State Farm Stadium,1,Glendale,Arizona,,
2009,XLIII,Raymond James Stadium,0,Tampa,Florida,,
2010,XLIV,Hard Rock Stadium,0,Miami,Florida,,
2011,XLV,AT&T Stadium,1,Arlington,Texas,,
2012,XLVI,Lucas Oil Stadium,1,Indianapolis,Indiana,,
2013,XLVII,Caesars Superdome,1,New Orleans,Louisiana,,
2014,XLVIII,MetLife Stadium,0,East Rutherford,New Jersey,,
2015,XLIX,State Farm Stadium,1,Glendale,Arizona,,
2016,L,Levi's Stadium,0,Santa Clara,California,,
2017,LI,NRG Stadium,1,Houston,Texas,,
2018,LII,U.S. Bank Stadium,1,Minneapolis,Minnesota,,
2019,LIII,Mercedes-Benz Stadium,1,Atlanta,Georgia,,
2020,LIV,Hard Rock Stadium,0,Miami,Florida,,
2021,LV,Raymond James Stadium,0,Tampa,Florida,,
2022,LVI,SoFi Stadium,1,Inglewood,California,,
2023,LVII,State Farm Stadium,1,Glendale,Arizona,,
2024,LVIII,Allegiant Stadium,1,Paradise,Nevada,,
2025,LIX,Caesars Superdome,1,New Orleans,Louisiana,,
