Year,Stadium,Capacity
2025,Caesars Superdome,73208
2024,Allegiant Stadium,65000
2023,State Farm Stadium,63400
2022,SoFi Stadium,70240
2021,Raymond James Stadium,69218
2020,Hard Rock Stadium,64767
2019,Mercedes-Benz Stadium,71000
2018,U.S. Bank Stadium,66860
2017,NRG Stadium,72220
2016,Levi's Stadium,68500
2015,State Farm Stadium,63400
2014,MetLife Stadium,82500
2013,Caesars Superdome,73208
2012,Lucas Oil Stadium,63000
2011,AT&T Stadium,80000
2010,Hard Rock Stadium,64767
2009,Raymond James Stadium,69218
2008,State Farm Stadium,63400
2007,Hard Rock Stadium,64767
2006,Ford Field,65000
2005,Alltel Stadium,67814
2004,NRG Stadium,72220
2003,Qualcomm Stadium,71000
2002,Caesars Superdome,73208
2001,Raymond James Stadium,69218
2000,Georgia Dome,71000
1999,Hard Rock Stadium,64767
1998,Qualcomm Stadium,71000
1997,Caesars Superdome,73208
1996,Sun Devil Stadium,53599
1995,Hard Rock Stadium,64767
1994,Georgia Dome,71000
1993,Rose Bowl,92542
1992,Hubert H. Humphrey Metrodome,66860
1991,Tampa Stadium,69218
1990,Caesars Superdome,73208
1989,Hard Rock Stadium,64767
1988,Qualcomm Stadium,71000
1987,Rose Bowl,92542
1986,Caesars Superdome,73208
1985,Stanford Stadium,85500
1984,Tampa Stadium,69218
1983,Rose Bowl,92542
1982,Pontiac Silverdome,82666
1981,Caesars Superdome,73208
1980,Rose Bowl,92542
1979,Orange Bowl,74712
1978,Caesars Superdome,73208
1977,Rose Bowl,92542
1976,Orange Bowl,74712
1975,Tulane Stadium,80985
1974,Rice Stadium,70000
1973,Los Angeles Memorial Coliseum,93607
1972,Tulane Stadium,80985
1971,Orange Bowl,74712
1970,Tulane Stadium,80985
1969,Orange Bowl,74712
1968,Orange Bowl,74712
1967,Los Angeles Memorial Coliseum,93607
