Year,Peformer,Type,Type of Halftime Performance,,,,
1967,"University of Arizona and Grambling State Marching Bands, Al Hirt",mid-level/mixed artists,2,,,Type,Number 
1968,Grambling State University Marching Band,Marching,1,,,Marching,1
1969,"""America Thanks"" Florida A&M Marching Band",Marching,1,,,mid-level/mixed artists,2
1970,"""Tribute to Mardi Gras""- Marguerite Piazza, Doc Severinsen, Al Hirt, Lionel Hampton, Carol Channing, Southern University Marching Band",mid-level/mixed artists,2,,,superstar act,3
1971,"""Southeast Missouri State marching band and Anita Bryant",mid-level/mixed artists,2,,,,
1972,"""Salue to Louis Armstrong""- Ella Fitzgerald, Carol Channing, Al Hirt, U.S. Marine Corps Drill Team",mid-level/mixed artists,2,,,,
1973,"""Happiness Is""- University of Michigan marching band and Woody Herman",mid-level/mixed artists,2,,,,
1974,"""A Musical America"" - University of Texas band",Marching,1,,,,
1975,"""Tribute to Duke Ellington"" - Mercer Ellington and grambling State band",mid-level/mixed artists,2,,,,
1976,"""200 Years and Just a Baby"" - Up with People",Marching,1,,,,
1977,"""It's a Small World""- Los Angeles Unified All-City Band, Mouseketeers",mid-level/mixed artists,2,,,,
1978,"From Paris to the Paris of America""- Tyler Apache Belles, Pete Fountain, Al Hirt",mid-level/mixed artists,2,,,,
1979,"""Super Bowl XIII Carnival""- Ken Hamilton and various Caribbean bands",mid-level/mixed artists,2,,,,
1980,"""A Salute to the Big Band Era""- Up with People, Grambling State University marching bands",Marching,1,,,,
1981,"""A Mardi Gras Festival""- Southern University marching band",Marching,1,,,,
1982,"""A Salute to the 60s and Motown""- Up with People",Marching,1,,,,
1983,"""KaleidoSUPERscore""- Los Angeles Super Drill Team",Marching,1,,,,
1984,"""Super Bowl XVIII's Salute to the Superstars of the Silver Screen""- University of Florida and Florida State University marching bands",Marching,1,,,,
1985,"""A World of Children's Dreams""- Tops in Blue",superstar act,3,,,,
1986,"""Beat of the Future""- Up with People",Marching,1,,,,
1987,"""Salute to Hollywood's 100th Anniversary""- George Burns, Mickey Rooney, Grambling State University and USC Marching Bands",mid-level/mixed artists,2,,,,
1988,"""Something Grand""- The Rockettes, Chubby Checker",mid-level/mixed artists,2,,,,
1989,"""Be Bop Bamboozled in 3-D""- Elvis Presto",superstar act,3,,,,
1990,"""Salute to New Orleans""- Pete Fountain, Doug Kershaw, Irma Thomas",mid-level/mixed artists,2,,,,
1991,"""A Small World Salute to 25 Years of the Superbowl""- New Kids on the Block",superstar act,3,,,,
1992,"""Winter Magic, salute to 1992 Winter Olympics""- Gloria Estafan, Brian Boitano, Dorothy Hamill",mid-level/mixed artists,2,,,,
1993,"""Heal the World""- Michael Jackson",superstar act,3,,,,
1994,"""Rockin' Country Sunday""- Clint Black, Tanya Tucker, Travis Tritt, Wynonna, Naomi Judd",mid-level/mixed artists,2,,,,
1995,"""Indiana Jones and the Temple of the Forbidden Eye""- Tony Bennett, Patti LaBelle, Arturo Sandoval, Miami Sound Machine",mid-level/mixed artists,2,,,,
1996,"""Take Me Higher: A Celebration of 30 Years of the SuperBowl""- Diana Ross",superstar act,3,,,,
1997,"""Blues Brothers Bash""- Dan Aykroyd, John Goodman, Jim Belushi, James Brown, ZZ Top",mid-level/mixed artists,2,,,,
1998,"""A Tribute to Motow's 40th Anniversary""- Boyz II Men, Smokey Robinson, Queen Latifah, Martha Reeves, The Temptations",mid-level/mixed artists,2,,,,
1999,"""Celebration of Soul, Salsa and Swing""- Stevie Wonder, Gloria Estefan, Big Bad Voodoo Daddy, Savion Glover",mid-level/mixed artists,2,,,,
2000,"""A Tapestry of Nations""- Phil Collins, Christina Aguilera, Enrique Iglesias, Toni Braxton, choir",mid-level/mixed artists,2,,,,
2001,"""The Kings of Rock and Pop""- Aerosmith, 'N'Sync, Britney Spears, Mary J. Blige, Nelly",mid-level/mixed artists,2,,,,
2002,"""Tribute to those killed in the September 11 attacks""- U2",superstar act,3,,,,
2003,"Shania Twain, No Doubt (ft, Sting)",mid-level/mixed artists,2,,,,
2004,"Janet Jackson, Kid Rock, P. Diddy, Nelly, Justin Timberlake",mid-level/mixed artists,2,,,,
2005,Paul McCartney,superstar act,3,,,,
2006,The Rolling Stones,superstar act,3,,,,
2007,Prince (ft Florida A&M marching band),superstar act,3,,,,
2008,Tom Petty and the Heartbreakers,superstar act,3,,,,
2009,Bruce Springsteen and the E Street Band,superstar act,3,,,,
2010,The Who,superstar act,3,,,,
2011,"The Black Eyed Peas (ft Usher, Slash)",superstar act,3,,,,
2012,"Madonna (ft LMFAO, Cirque du Soleil, Nicki Minaj, M.I.A., and CeeLo Green)",superstar act,3,,,,
2013,Beyonce (ft. Destiny's Child),superstar act,3,,,,
2014,Bruno Mars (ft Red Hot Chili Peppers),superstar act,3,,,,
2015,Katy Perry (ft Lenny Kravitz and Misy Elliott),superstar act,3,,,,
2016,Coldplay (ft Beyonce and Bruno Mars),superstar act,3,,,,
2017,Lady Gaga,superstar act,3,,,,
2018,Justin Timberlake (ft. The Tennessee Kids),superstar act,3,,,,
2019,"Maroon 5, Travis Scott, Big Boi",mid-level/mixed artists,2,,,,
2020,"Shakira and Jennifer Lopez (ft Bad Bunny, J Balvin, Emme Muniz)",mid-level/mixed artists,2,,,,
2021,The Weekend,superstar act,3,,,,
2022,"Dr. Dre, Snoop Dogg, Eminem, Mary J. Blige, and Kendrick Lamar (ft 50 Cent and Anderson .Paak)",mid-level/mixed artists,2,,,,
2023,Rihanna,superstar act,3,,,,
2024,Usher,superstar act,3,,,,
2025,Kendrick Lamar (ft. SZA),superstar act,3,,,,
